custcode,Mar,Apr,May,firstAccum,firstTrend,SecondTrend,AvgFirstTrend,Jun,Jul,Aug,SecondAccum,ThirdTrend,FourthTrend,SecondAvgTrend,AccumTrend
6808033AY,,,,0,0,0,0,,,315,315,0,0,0,0
6808034AY,,,,0,0,0,0,,,210,210,0,0,0,0
6808035AY,,,,0,0,0,0,,,"8,174","8,174",0,0,0,0
6808036AY,,,,0,0,0,0,,,"9,708","9,708",0,0,0,0
6808037AY,,,,0,0,0,0,,,"2,591","2,591",0,0,0,0
6808038AY,,,,0,0,0,0,,,"32,264","32,264",0,0,0,0
6808039AY,,,,0,0,0,0,,,"1,242","1,242",0,0,0,0
6808041AY,,,,0,0,0,0,,,"3,776","3,776",0,0,0,0
6808042AY,,,,0,0,0,0,,,263,263,0,0,0,0
6808043AY,,,,0,0,0,0,,,"5,047","5,047",0,0,0,0
6808044AY,,,,0,0,0,0,,,959,959,0,0,0,0
6808046AY,,,,0,0,0,0,,,556,556,0,0,0,0
6808047AY,,,,0,0,0,0,,,505,505,0,0,0,0
6808048AY,,,,0,0,0,0,,,"5,173","5,173",0,0,0,0
6808049AY,,,,0,0,0,0,,,206,206,0,0,0,0
6808050AY,,,,0,0,0,0,,,997,997,0,0,0,0
6808051AY,,,,0,0,0,0,,,"1,298","1,298",0,0,0,0
6808052AY,,,,0,0,0,0,,,"13,850","13,850",0,0,0,0
6808053AY,,,,0,0,0,0,,,757,757,0,0,0,0
6808054AY,,,,0,0,0,0,,,"3,028","3,028",0,0,0,0
6808055AY,,,,0,0,0,0,,,"13,379","13,379",0,0,0,0
6808057AY,,,,0,0,0,0,,,"16,409","16,409",0,0,0,0
6808059AY,,,,0,0,0,0,,,"1,627","1,627",0,0,0,0
DAY005,"23,123","25,827","8,783","57,733",0.9,2.94,1.92,"9,351","6,733","18,393","34,478",0.72,2.73,1.725,0.6
DAY006,"7,814",,"4,154","11,968",0,0,0,701,"2,159","11,532","14,391",3.08,5.34,4.21,1.2
DAY026,,308,,308,0,0,0,,,,0,0,0,0,0
DAY031,"17,073","12,256","17,610","46,939",1.39,0.7,1.045,"6,345","5,862","4,250","16,457",0.92,0.73,0.825,0.35
DAY033,,,,0,0,0,0,,,,0,0,0,0,0
DAY034,,,179,179,0,0,0,,,,0,0,0,0,0
DAY037,611,,"18,104","18,715",0,0,0,"13,452","1,396","5,247","20,095",0.1,3.76,1.93,1.07
DAY040,"1,065",462,"28,117","29,644",2.31,0.02,1.165,,,,0,0,0,0,0
DAY045,,,,0,0,0,0,,467,,467,0,0,0,0
DAY046,,,,0,0,0,0,241,,,241,0,0,0,0
DAY049,"5,838",,,"5,838",0,0,0,,,,0,0,0,0,0
DAY059,,"1,828",,"1,828",0,0,0,"6,612",,,"6,612",0,0,0,3.62
DAY064,,"29,698",,"29,698",0,0,0,,"8,832",,"8,832",0,0,0,0.3
DAY078,"4,997",,"2,352","7,349",0,0,0,290,305,"1,078","1,672",1.05,3.54,2.295,0.23
DAY089,"7,079","1,129","8,241","16,449",6.27,0.14,3.205,"3,540","1,982","5,038","10,560",0.56,2.54,1.55,0.64
DAY092,,,,0,0,0,0,309,"17,485",95,"17,890",56.52,0.01,28.265,0
DAY109,,,"2,692","2,692",0,0,0,,,,0,0,0,0,0
DAY113,,,,0,0,0,0,,"9,430",,"9,430",0,0,0,0
DAY114,"73,747","74,958","5,509","154,214",0.98,13.61,7.295,"25,990","71,157","38,196","135,343",2.74,0.54,1.64,0.88
DAY117,"18,370",269,"44,982","63,621",68.29,0.01,34.15,"5,654","15,504","13,176","34,334",2.74,0.85,1.795,0.54
DAY127,,701,"3,505","4,206",0,0.2,0.1,,,,0,0,0,0,0
DAY135,,,388,388,0,0,0,,,,0,0,0,0,0
DAY155,234,,,234,0,0,0,,,,0,0,0,0,0
DAY160,606,,,606,0,0,0,,,,0,0,0,0,0
DAY166,,"1,450",,"1,450",0,0,0,,,,0,0,0,0,0
DAY169,"6,084","5,070","1,014","12,168",1.2,5,3.1,"4,056","4,397","3,418","11,871",1.08,0.78,0.93,0.98
DAY172,,,,0,0,0,0,,"3,729",,"3,729",0,0,0,0
DAY192,,284,,284,0,0,0,"1,136",,,"1,136",0,0,0,4
DAY200,,,,0,0,0,0,,408,,408,0,0,0,0
DAY204,,,,0,0,0,0,,,"1,121","1,121",0,0,0,0
DAY207,"255,971","263,438","284,553","803,962",0.97,0.93,0.95,"172,760","142,619","217,743","533,122",0.83,1.53,1.18,0.66
DAY208,"137,891","290,930","53,591","482,412",0.47,5.43,2.95,"184,837","159,848","81,305","425,990",0.86,0.51,0.685,0.88
DAY212,"14,235","50,390","23,312","87,937",0.28,2.16,1.22,,144,,144,0,0,0,0
DAY213,,,,0,0,0,0,505,,,505,0,0,0,0
DAY216,"2,069",,,"2,069",0,0,0,,,,0,0,0,0,0
DAY217,,,,0,0,0,0,"1,318",,"3,364","4,682",0,0,0,0
DAY224,,,,0,0,0,0,,,"3,232","3,232",0,0,0,0
DBS050,,,,0,0,0,0,,,"7,613","7,613",0,0,0,0
DCB070,,,,0,0,0,0,458,"1,709",,"2,167",3.73,0,1.865,0
DCB095,"8,451",,"1,587","10,038",0,0,0,"29,715",,,"29,715",0,0,0,2.96
DCB111,,,,0,0,0,0,,,,0,0,0,0,0
DNR025,"1,106",,,"1,106",0,0,0,,,,0,0,0,0,0
DRB299,,,,0,0,0,0,,"1,001",,"1,001",0,0,0,0
DRB515,,,,0,0,0,0,,,210,210,0,0,0,0
DSB033,,,,0,0,0,0,,,"1,780","1,780",0,0,0,0
DTL132,,"1,325",,"1,325",0,0,0,,,,0,0,0,0,0
DTL264,,,,0,0,0,0,154,,,154,0,0,0,0
DTR272,,,,0,0,0,0,,,,0,0,0,0,0
DUD111,"52,092",,,"52,092",0,0,0,,,,0,0,0,0,0
