custcode,Mar,Apr,May,firstAccum,firstTrend,SecondTrend,AvgFirstTrend,Jun,Jul,Aug,SecondAccum,ThirdTrend,FourthTrend,SecondAvgTrend,AccumTrend
6707017AY,,,513,513,0,0,0,,,"1,144","1,144",0,0,0,2.23
6707019AY,,"2,441",,"2,441",0,0,0,,,,0,0,0,0,0
6707019BS,,,,0,0,0,0,643,,,643,0,0,0,0
6707020AY,,,"10,811","10,811",0,0,0,,,,0,0,0,0,0
6707022AY,,,,0,0,0,0,,,,0,0,0,0,0
6707023AY,645,,,645,0,0,0,,,,0,0,0,0,0
6707027AY,630,"1,817",,"2,447",0.35,0,0.175,,,679,679,0,0,0,0.28
6707029AY,,,,0,0,0,0,,,,0,0,0,0,0
6707030RY,,,,0,0,0,0,,,"1,054","1,054",0,0,0,0
6707032AY,,,,0,0,0,0,"5,446",,,"5,446",0,0,0,0
6707033AY,,299,,299,0,0,0,,,,0,0,0,0,0
6707033TS,"7,909",,,"7,909",0,0,0,,,,0,0,0,0,0
6707034AY,,,,0,0,0,0,"1,817",,,"1,817",0,0,0,0
6707035BS,"1,543",,,"1,543",0,0,0,,"7,084",,"7,084",0,0,0,4.59
6707036NS,,,"1,391","1,391",0,0,0,,,,0,0,0,0,0
6707039AY,"3,237",,"14,800","18,037",0,0,0,,,,0,0,0,0,0
6707040NS,572,,,572,0,0,0,,,,0,0,0,0,0
6707041SK,,"5,226",,"5,226",0,0,0,,,,0,0,0,0,0
6707042AY,,,,0,0,0,0,,,,0,0,0,0,0
6707044AY,,,,0,0,0,0,,,224,224,0,0,0,0
6707045RB,,,,0,0,0,0,,"34,629","3,412","38,040",0,0.1,0.05,0
6707047CB,"21,669",,,"21,669",0,0,0,,,,0,0,0,0,0
6707053AY,"7,753",250,,"8,003",31.01,0,15.505,,,,0,0,0,0,0
6707054SB,,,,0,0,0,0,,,"7,461","7,461",0,0,0,0
6707057AY,"6,290","3,969","3,009","13,268",1.58,1.32,1.45,,"3,879","2,672","6,551",0,0.69,0.345,0.49
6707058AY,,,"3,685","3,685",0,0,0,,,,0,0,0,0,0
6707061AY,411,,,411,0,0,0,,,,0,0,0,0,0
6707067AY,"31,085","11,276","6,184","48,545",2.76,1.82,2.29,"64,693",,,"64,693",0,0,0,1.33
6707068AY,,,"12,761","12,761",0,0,0,,,,0,0,0,0,0
6707069AY,,,"2,646","2,646",0,0,0,"5,490",,"1,233","6,724",0,0,0,2.54
6707070AY,,,,0,0,0,0,,,"26,800","26,800",0,0,0,0
6707072AY,"4,432","4,883",,"9,315",0.91,0,0.455,"8,790",,"5,860","14,650",0,0,0,1.57
6707073AY,,,,0,0,0,0,,,,0,0,0,0,0
6707075AY,,,"1,470","1,470",0,0,0,"1,014",862,"1,014","2,890",0.85,1.18,1.015,1.97
6707077AY,235,,,235,0,0,0,,,126,126,0,0,0,0.54
6707079AY,"5,664","5,898","10,617","22,179",0.96,0.56,0.76,,"2,472",,"2,472",0,0,0,0.11
6707090AY,,,,0,0,0,0,"2,670","1,825",,"4,496",0.68,0,0.34,0
6707093AY,,,,0,0,0,0,,,,0,0,0,0,0
6707094AY,"11,718","11,573","7,304","30,595",1.01,1.58,1.295,"11,733","7,516",,"19,248",0.64,0,0.32,0.63
6707095AY,,,,0,0,0,0,,897,645,"1,542",0,0.72,0.36,0
6707098AY,414,,,414,0,0,0,,,,0,0,0,0,0
6707104AY,,,,0,0,0,0,817,,"3,206","4,023",0,0,0,0
6707105AY,,"33,447","20,022","53,469",0,1.67,0.835,,,,0,0,0,0,0
6707106AY,,,,0,0,0,0,,,,0,0,0,0,0
6707107AY,,,"3,009","3,009",0,0,0,,,,0,0,0,0,0
6707110AY,"7,711",,"8,005","15,716",0,0,0,62,"1,172","1,995","3,229",19,1.7,10.35,0.21
6707111AY,,,,0,0,0,0,"5,020","6,433","5,431","16,884",1.28,0.84,1.06,0
6707117AY,,206,,206,0,0,0,,,,0,0,0,0,0
6707118AY,,,"6,641","6,641",0,0,0,,,,0,0,0,0,0
6707122AY,,,,0,0,0,0,,,,0,0,0,0,0
6707125AY,,,"11,963","11,963",0,0,0,,"7,009",,"7,009",0,0,0,0.59
6707128AY,508,,,508,0,0,0,,"1,850",,"1,850",0,0,0,3.64
6707131AY,"4,448","1,378","6,845","12,671",3.23,0.2,1.715,,"10,071","13,725","23,795",0,1.36,0.68,1.88
6707132AY,916,"1,002",458,"2,376",0.91,2.19,1.55,,533,,533,0,0,0,0.22
6707135AY,435,"6,401","5,708","12,544",0.07,1.12,0.595,636,"1,660",979,"3,275",2.61,0.59,1.6,0.26
6707136TS,,,,0,0,0,0,,887,,887,0,0,0,0
6707139AY,"2,527",,,"2,527",0,0,0,,"2,129","1,069","3,198",0,0.5,0.25,1.27
6707141AY,,,,0,0,0,0,,"6,499",,"6,499",0,0,0,0
6707142AY,221,,,221,0,0,0,"1,406",,,"1,406",0,0,0,6.36
6707144AY,,,,0,0,0,0,341,,,341,0,0,0,0
6707195TS,,,,0,0,0,0,,,,0,0,0,0,0
6708006AY,,,,0,0,0,0,,,,0,0,0,0,0
6708007AY,"3,477","6,393","6,953","16,823",0.54,0.92,0.73,,"6,953","3,589","10,542",0,0.52,0.26,0.63
6708008AY,"1,964","8,358","4,740","15,062",0.23,1.76,0.995,"9,278","3,563","7,016","19,857",0.38,1.97,1.175,1.32
6708008BS,,,"7,541","7,541",0,0,0,"7,347",,,"7,347",0,0,0,0.97
6708010NR,"1,113",,,"1,113",0,0,0,,,,0,0,0,0,0
6708013AY,,"2,005",,"2,005",0,0,0,,"10,303",,"10,303",0,0,0,5.14
6708013HY,,,,0,0,0,0,813,,,813,0,0,0,0
6708015AY,,,,0,0,0,0,,,,0,0,0,0,0
6708018AY,,,,0,0,0,0,"15,206",,,"15,206",0,0,0,0
6708024AY,,,437,437,0,0,0,,,,0,0,0,0,0
6708027UD,,,,0,0,0,0,,,,0,0,0,0,0
6708029AY,,,,0,0,0,0,757,,,757,0,0,0,0
6708032AY,"1,808","2,299",,"4,107",0.79,0,0.395,364,,,364,0,0,0,0.09
6708033AY,,,,0,0,0,0,,,120,120,0,0,0,0
6708039AY,"5,397",,"1,474","6,871",0,0,0,,"1,911",,"1,911",0,0,0,0.28
6708040AY,945,,,945,0,0,0,,,,0,0,0,0,0
6708044AY,,,421,421,0,0,0,,,,0,0,0,0,0
6708045AY,112,,"2,383","2,495",0,0,0,"1,840",,,"1,840",0,0,0,0.74
6708046CB,"10,224",,"6,944","17,168",0,0,0,,,,0,0,0,0,0
6708050AY,,,"14,215","14,215",0,0,0,,,,0,0,0,0,0
6708054AY,,"5,720",,"5,720",0,0,0,,,,0,0,0,0,0
6708061AY,"3,407",,,"3,407",0,0,0,,,,0,0,0,0,0
6708061NR,,,,0,0,0,0,,,"6,011","6,011",0,0,0,0
6708064AY,,840,,840,0,0,0,,,,0,0,0,0,0
6708064SB,,,"12,466","12,466",0,0,0,,,,0,0,0,0,0
6708068RB,,,,0,0,0,0,,,"32,411","32,411",0,0,0,0
6708071AY,,,,0,0,0,0,,,"1,023","1,023",0,0,0,0
6708074AY,"2,388",,,"2,388",0,0,0,,"5,932","2,208","8,140",0,0.37,0.185,3.41
6708076AY,,,,0,0,0,0,,143,,143,0,0,0,0
6708077AY,,,,0,0,0,0,,,,0,0,0,0,0
6708084AY,,,,0,0,0,0,,,679,679,0,0,0,0
6708086AY,,,,0,0,0,0,613,,,613,0,0,0,0
6708087AY,892,720,,"1,612",1.24,0,0.62,,,,0,0,0,0,0
6708087TS,,,,0,0,0,0,"2,344","2,545",,"4,889",1.09,0,0.545,0
6708089AY,,,,0,0,0,0,,,474,474,0,0,0,0
6708091AY,,,,0,0,0,0,311,,,311,0,0,0,0
6708094AY,,,,0,0,0,0,"11,907",,,"11,907",0,0,0,0
6708104AY,,,,0,0,0,0,"4,927","1,019","6,203","12,149",0.21,6.09,3.15,0
6708107AY,,,,0,0,0,0,,"3,761",,"3,761",0,0,0,0
6708113AY,"16,280","6,513",,"22,793",2.5,0,1.25,,,,0,0,0,0,0
6708115AY,"4,972","10,242",,"15,214",0.49,0,0.245,"15,169","9,444","3,383","27,996",0.62,0.36,0.49,1.84
6708120AY,,,,0,0,0,0,,"10,770","36,021","46,791",0,3.34,1.67,0
6708122AY,,,,0,0,0,0,"3,626","3,009",,"6,634",0.83,0,0.415,0
6708123AY,,"1,645",,"1,645",0,0,0,,381,,381,0,0,0,0.23
6708124AY,"3,534","1,292",,"4,826",2.74,0,1.37,"6,877","6,970","3,032","16,879",1.01,0.44,0.725,3.5
6708126AY,,,,0,0,0,0,,"5,132","1,483","6,615",0,0.29,0.145,0
6708129AY,561,"2,295","2,300","5,156",0.24,1,0.62,"11,486","7,112","7,430","26,028",0.62,1.04,0.83,5.05
6708130AY,,,,0,0,0,0,,,897,897,0,0,0,0
6708142AY,,,,0,0,0,0,,,,0,0,0,0,0
6709004AY,,,,0,0,0,0,,,,0,0,0,0,0
6709006AY,"15,377","5,138","6,324","26,839",2.99,0.81,1.9,,"6,204",,"6,204",0,0,0,0.23
6709006BS,,"8,415","22,603","31,018",0,0.37,0.185,"4,442",,"2,979","7,421",0,0,0,0.24
6709008RY,,,,0,0,0,0,,187,,187,0,0,0,0
6709010AY,"15,487",,,"15,487",0,0,0,,,,0,0,0,0,0
6709018SB,,,,0,0,0,0,,,,0,0,0,0,0
6709019AY,,,,0,0,0,0,,,,0,0,0,0,0
6709020AY,152,194,,346,0.78,0,0.39,,,,0,0,0,0,0
6709021AY,,,,0,0,0,0,,,"24,067","24,067",0,0,0,0
6709022AY,,,,0,0,0,0,,,723,723,0,0,0,0
6709024AY,,,,0,0,0,0,,,,0,0,0,0,0
6709025AY,,,,0,0,0,0,,"1,355",,"1,355",0,0,0,0
6709026AY,"4,982",350,"18,081","23,413",14.23,0.02,7.125,"1,354",,"9,003","10,358",0,0,0,0.44
6709030AY,,,,0,0,0,0,,540,,540,0,0,0,0
6709032AY,901,,283,"1,184",0,0,0,,,,0,0,0,0,0
6709044AY,687,"6,228",,"6,915",0.11,0,0.055,,,,0,0,0,0,0
6709048CB,,,,0,0,0,0,,,"23,321","23,321",0,0,0,0
6709050AY,391,,,391,0,0,0,,,,0,0,0,0,0
6709051AY,,,,0,0,0,0,,,"1,031","1,031",0,0,0,0
6709052AY,,,,0,0,0,0,251,,,251,0,0,0,0
6709053AY,771,,,771,0,0,0,,,,0,0,0,0,0
6709056AY,,,,0,0,0,0,"2,708",,,"2,708",0,0,0,0
6709056NS,,,,0,0,0,0,,,,0,0,0,0,0
6709057AY,,,735,735,0,0,0,,,,0,0,0,0,0
6709061AY,626,364,,990,1.72,0,0.86,,,,0,0,0,0,0
6709063AY,"7,956",,,"7,956",0,0,0,,,"1,327","1,327",0,0,0,0.17
6709069AY,,,,0,0,0,0,,"3,720",,"3,720",0,0,0,0
6709073AY,,,,0,0,0,0,,,,0,0,0,0,0
6709076AY,,,"1,963","1,963",0,0,0,,,,0,0,0,0,0
6709080AY,,,,0,0,0,0,,,"2,209","2,209",0,0,0,0
6709092AY,,,,0,0,0,0,,,,0,0,0,0,0
6710004AY,,,,0,0,0,0,,,,0,0,0,0,0
6710004SB,,,,0,0,0,0,,,939,939,0,0,0,0
6710005AY,"1,105",,,"1,105",0,0,0,,,,0,0,0,0,0
6710010AY,,,,0,0,0,0,,,,0,0,0,0,0
6710011AY,,,"2,736","2,736",0,0,0,,,,0,0,0,0,0
6710012AY,"11,784",,,"11,784",0,0,0,"6,619",,,"6,619",0,0,0,0.56
6710014AY,,,,0,0,0,0,,,813,813,0,0,0,0
6710020AY,,,,0,0,0,0,,,"10,752","10,752",0,0,0,0
6710021CB,,,,0,0,0,0,"9,744","48,105","25,760","83,609",4.94,0.54,2.74,0
6710021TS,,,"8,641","8,641",0,0,0,,,,0,0,0,0,0
6710022AY,,,,0,0,0,0,,,,0,0,0,0,0
6710028AY,,,,0,0,0,0,486,,,486,0,0,0,0
6710032AY,,,,0,0,0,0,,,,0,0,0,0,0
6710036AY,695,"2,086",,"2,781",0.33,0,0.165,,"1,308","2,617","3,925",0,2,1,1.41
6710037AY,,,,0,0,0,0,,,,0,0,0,0,0
6710038AY,,,,0,0,0,0,,,,0,0,0,0,0
6710039AY,,,,0,0,0,0,,,,0,0,0,0,0
6710042AY,"2,164","2,342","2,756","7,262",0.92,0.85,0.885,,,,0,0,0,0,0
6710043AY,,,,0,0,0,0,,,"2,310","2,310",0,0,0,0
6710044AY,,,,0,0,0,0,"5,182",,"2,063","7,245",0,0,0,0
6710049AY,,,,0,0,0,0,,,292,292,0,0,0,0
6710049RB,"7,098",,,"7,098",0,0,0,,,,0,0,0,0,0
6710050AY,,,,0,0,0,0,928,,,928,0,0,0,0
6710053AY,,,458,458,0,0,0,,,,0,0,0,0,0
6710055AY,,,,0,0,0,0,,,,0,0,0,0,0
6710056NR,,,,0,0,0,0,"5,081","11,939",,"17,021",2.35,0,1.175,0
6710060AY,,,,0,0,0,0,,,,0,0,0,0,0
6710063AY,,,,0,0,0,0,,,"1,121","1,121",0,0,0,0
6710065AY,,"3,124","4,685","7,809",0,0.67,0.335,425,,972,"1,397",0,0,0,0.18
6710069AY,,,509,509,0,0,0,,,"3,858","3,858",0,0,0,7.58
6710070AY,,,,0,0,0,0,,,,0,0,0,0,0
6710072AY,,,793,793,0,0,0,,,,0,0,0,0,0
6710076RY,"2,867",,"4,111","6,978",0,0,0,,,,0,0,0,0,0
6710079AY,407,,,407,0,0,0,,,,0,0,0,0,0
6710082AY,,,"1,822","1,822",0,0,0,"3,563",,,"3,563",0,0,0,1.96
6710083AY,,,,0,0,0,0,"1,884","2,426",822,"5,133",1.29,0.34,0.815,0
6710084AY,,,,0,0,0,0,,"4,532",,"4,532",0,0,0,0
6710086AY,,,,0,0,0,0,,,,0,0,0,0,0
6710088AY,47,,,47,0,0,0,,,,0,0,0,0,0
6710095AY,,"4,898",,"4,898",0,0,0,,,,0,0,0,0,0
6710101AY,,,,0,0,0,0,,,"39,534","39,534",0,0,0,0
6710108AY,,,52,52,0,0,0,,,,0,0,0,0,0
6711003AY,"2,499",,,"2,499",0,0,0,,,,0,0,0,0,0
6711004AY,,,,0,0,0,0,,,,0,0,0,0,0
6711005AY,,,290,290,0,0,0,,,,0,0,0,0,0
6711005UB,,,,0,0,0,0,,,,0,0,0,0,0
6711010AY,"4,860",,,"4,860",0,0,0,,"2,509",,"2,509",0,0,0,0.52
6711012AY,,,,0,0,0,0,,,,0,0,0,0,0
6711013KK,,,,0,0,0,0,,,112,112,0,0,0,0
6711013SK,,,,0,0,0,0,,,415,415,0,0,0,0
6711014AY,,,"17,470","17,470",0,0,0,,,,0,0,0,0,0
6711015AY,,393,,393,0,0,0,"4,643",,,"4,643",0,0,0,11.81
6711019UD,,,,0,0,0,0,,,827,827,0,0,0,0
6711024AY,"2,741",,"6,622","9,363",0,0,0,,838,,838,0,0,0,0.09
6711025AY,826,,827,"1,653",0,0,0,,,,0,0,0,0,0
6711026AY,,,,0,0,0,0,220,,,220,0,0,0,0
6711031AY,,,,0,0,0,0,,,"81,804","81,804",0,0,0,0
6711043AY,,108,,108,0,0,0,,,,0,0,0,0,0
6711046AY,,,,0,0,0,0,,"3,789",,"3,789",0,0,0,0
6711053AY,,,,0,0,0,0,,,,0,0,0,0,0
6711058AY,,416,668,"1,084",0,0.62,0.31,,,"1,121","1,121",0,0,0,1.03
6711065AY,"3,014","6,207","20,972","30,193",0.49,0.3,0.395,"16,347","3,581","12,429","32,357",0.22,3.47,1.845,1.07
6711069AY,,656,"1,182","1,838",0,0.55,0.275,"8,970",632,,"9,603",0.07,0,0.035,5.22
6711072AY,,,,0,0,0,0,,,,0,0,0,0,0
6711074AY,,,,0,0,0,0,,,"1,898","1,898",0,0,0,0
6711075AY,,,,0,0,0,0,,"20,860",461,"21,321",0,0.02,0.01,0
6711076AY,,,,0,0,0,0,669,,,669,0,0,0,0
6711078AY,,,,0,0,0,0,,,,0,0,0,0,0
6711078BS,964,"4,823","1,009","6,796",0.2,4.78,2.49,,,"2,550","2,550",0,0,0,0.38
6711080AY,,,,0,0,0,0,,,246,246,0,0,0,0
6711081AY,"1,720",,,"1,720",0,0,0,,,,0,0,0,0,0
6711082AY,,,,0,0,0,0,,,,0,0,0,0,0
6711084AY,"1,546",,,"1,546",0,0,0,"5,597","1,508",622,"7,728",0.27,0.41,0.34,5
6711085AY,,,"18,150","18,150",0,0,0,,,,0,0,0,0,0
6711089TS,,,,0,0,0,0,,"1,178",,"1,178",0,0,0,0
6712002AY,,,,0,0,0,0,"2,509",,"12,673","15,183",0,0,0,0
6712003AY,"8,158",,,"8,158",0,0,0,,,,0,0,0,0,0
6712005AY,,,"4,592","4,592",0,0,0,,,,0,0,0,0,0
6712006AY,916,,916,"1,832",0,0,0,,,"2,340","2,340",0,0,0,1.28
6712007AY,,,,0,0,0,0,,"6,320",,"6,320",0,0,0,0
6712010AY,,,,0,0,0,0,,,,0,0,0,0,0
6712012AY,,121,,121,0,0,0,740,,,740,0,0,0,6.12
6712012TR,,,,0,0,0,0,,,,0,0,0,0,0
6712015AY,,,,0,0,0,0,,204,,204,0,0,0,0
6712026AY,"1,542",,,"1,542",0,0,0,,,,0,0,0,0,0
6712030CB,,,,0,0,0,0,,,,0,0,0,0,0
6712032AY,,104,,104,0,0,0,,,370,370,0,0,0,3.56
6712034AY,"2,243",,,"2,243",0,0,0,,,,0,0,0,0,0
6712035AY,,,439,439,0,0,0,,,,0,0,0,0,0
6712038AY,,,,0,0,0,0,,,,0,0,0,0,0
6712039AY,"11,270",,,"11,270",0,0,0,,,"22,599","22,599",0,0,0,2.01
6712042AY,"17,018",,"24,453","41,471",0,0,0,"9,772","5,701",474,"15,947",0.58,0.08,0.33,0.38
6712044AY,"2,673","6,277","17,472","26,422",0.43,0.36,0.395,,,"31,542","31,542",0,0,0,1.19
6712050AY,,,,0,0,0,0,,,,0,0,0,0,0
6712050TS,"3,320",,,"3,320",0,0,0,,,,0,0,0,0,0
6712055AY,"1,590","2,238","4,185","8,013",0.71,0.53,0.62,"1,216",,"1,343","2,559",0,0,0,0.32
6712064AY,"11,529","4,100","18,717","34,346",2.81,0.22,1.515,"9,275",,,"9,275",0,0,0,0.27
6712093PK,"57,477",473,,"57,950",121.52,0,60.76,,,,0,0,0,0,0
6801001AY,,,,0,0,0,0,,,,0,0,0,0,0
6801002AY,,407,,407,0,0,0,,,,0,0,0,0,0
6801003AY,,,,0,0,0,0,,,,0,0,0,0,0
6801004AY,,,,0,0,0,0,,,,0,0,0,0,0
6801005AY,,,,0,0,0,0,,,,0,0,0,0,0
6801005TL,"4,501",,,"4,501",0,0,0,,,,0,0,0,0,0
6801006AY,,,,0,0,0,0,,,,0,0,0,0,0
6801007AY,,,,0,0,0,0,,,,0,0,0,0,0
6801008AY,,841,,841,0,0,0,,,,0,0,0,0,0
6801009AY,,,"1,546","1,546",0,0,0,,,,0,0,0,0,0
6801010AY,,,,0,0,0,0,,,,0,0,0,0,0
6801011AY,,,,0,0,0,0,,,,0,0,0,0,0
6801012AY,,,,0,0,0,0,,,,0,0,0,0,0
6801013AY,,,,0,0,0,0,,,,0,0,0,0,0
6801015AY,,,,0,0,0,0,,,,0,0,0,0,0
6801017AY,"1,909",,,"1,909",0,0,0,,91,344,435,0,3.79,1.895,0.23
6801018AY,,"4,897",,"4,897",0,0,0,,,,0,0,0,0,0
6801019AY,,,,0,0,0,0,,,,0,0,0,0,0
6801020AY,,,,0,0,0,0,,,,0,0,0,0,0
6801021AY,,,,0,0,0,0,,,,0,0,0,0,0
6801022AY,,,,0,0,0,0,,,,0,0,0,0,0
6801023AY,,,,0,0,0,0,,,,0,0,0,0,0
6801024AY,,,,0,0,0,0,,,,0,0,0,0,0
6801025AY,,"1,189",,"1,189",0,0,0,,,,0,0,0,0,0
6801025BS,,,,0,0,0,0,,"18,373",,"18,373",0,0,0,0
6801025NS,,,561,561,0,0,0,,,,0,0,0,0,0
6801026AY,,,608,608,0,0,0,,,,0,0,0,0,0
6801027AY,,,,0,0,0,0,,,,0,0,0,0,0
6801028AY,,,,0,0,0,0,,,,0,0,0,0,0
6801029AY,,,"16,334","16,334",0,0,0,,,,0,0,0,0,0
6801030AY,,,,0,0,0,0,,,,0,0,0,0,0
6801031AY,,,,0,0,0,0,,,,0,0,0,0,0
6801032AY,,458,,458,0,0,0,,,,0,0,0,0,0
6801033AY,,,,0,0,0,0,,,,0,0,0,0,0
6801034AY,,,,0,0,0,0,,753,,753,0,0,0,0
6801035AY,,,187,187,0,0,0,,,,0,0,0,0,0
6801036AY,,,,0,0,0,0,,,,0,0,0,0,0
6801037AY,,,,0,0,0,0,,,,0,0,0,0,0
6801038AY,219,,"1,371","1,590",0,0,0,,,,0,0,0,0,0
6801039AY,50,318,,368,0.16,0,0.08,,,,0,0,0,0,0
6801041AY,,,,0,0,0,0,,654,377,"1,031",0,0.58,0.29,0
6801042AY,,,,0,0,0,0,,,,0,0,0,0,0
6801043AY,,,,0,0,0,0,,,,0,0,0,0,0
6801044AY,"1,884",,,"1,884",0,0,0,,,,0,0,0,0,0
6801045AY,,,,0,0,0,0,,"1,396",,"1,396",0,0,0,0
6801046AY,,,,0,0,0,0,,,,0,0,0,0,0
6801047AY,,,,0,0,0,0,,,,0,0,0,0,0
6801048AY,,,,0,0,0,0,,,,0,0,0,0,0
6801049AY,,,,0,0,0,0,,,,0,0,0,0,0
6801050AY,"1,123",,,"1,123",0,0,0,,,,0,0,0,0,0
6801051AY,,,,0,0,0,0,,,,0,0,0,0,0
6801052AY,,,,0,0,0,0,,,,0,0,0,0,0
6801053AY,,,,0,0,0,0,,,,0,0,0,0,0
6801054AY,"3,980","2,206",,"6,186",1.8,0,0.9,,,,0,0,0,0,0
6801054KK,,,,0,0,0,0,,,,0,0,0,0,0
6801055AY,,,,0,0,0,0,,,,0,0,0,0,0
6801056AY,,,,0,0,0,0,,,,0,0,0,0,0
6801057AY,,,,0,0,0,0,,,,0,0,0,0,0
6801058AY,,"5,561",,"5,561",0,0,0,,,,0,0,0,0,0
6801059AY,,,,0,0,0,0,,,,0,0,0,0,0
6801059BS,,,916,916,0,0,0,,,,0,0,0,0,0
6801060AY,,,,0,0,0,0,,,,0,0,0,0,0
6801084BS,,,,0,0,0,0,,,"1,533","1,533",0,0,0,0
6802001AY,,,,0,0,0,0,"5,179",,,"5,179",0,0,0,0
6802002AY,,,,0,0,0,0,,,,0,0,0,0,0
6802003AY,,,,0,0,0,0,,"1,645",222,"1,867",0,0.14,0.07,0
6802004AY,"-1,766",52,"5,451","3,737",-33.96,0.01,-16.975,,,,0,0,0,0,0
6802005AY,,,,0,0,0,0,,,,0,0,0,0,0
6802006AY,,631,,631,0,0,0,,,,0,0,0,0,0
6802009AY,,,,0,0,0,0,,,,0,0,0,0,0
6802010AY,,,,0,0,0,0,,,,0,0,0,0,0
6802011AY,,,,0,0,0,0,,,,0,0,0,0,0
6802011BS,,,,0,0,0,0,,,"16,812","16,812",0,0,0,0
6802012AY,,,,0,0,0,0,,,,0,0,0,0,0
6802013AY,,,,0,0,0,0,,,,0,0,0,0,0
6802014AY,,,,0,0,0,0,,,,0,0,0,0,0
6802015AY,,,,0,0,0,0,,,,0,0,0,0,0
6802015TR,,559,439,998,0,1.27,0.635,,"6,573",976,"7,548",0,0.15,0.075,7.56
6802016AY,"2,896",,,"2,896",0,0,0,,,,0,0,0,0,0
6802017AY,,,,0,0,0,0,,,,0,0,0,0,0
6802019AY,,,,0,0,0,0,,,,0,0,0,0,0
6802020AY,,,"1,095","1,095",0,0,0,,,,0,0,0,0,0
6802021AY,,,,0,0,0,0,,,,0,0,0,0,0
6802022AY,,,,0,0,0,0,,,,0,0,0,0,0
6802023AY,,,,0,0,0,0,,,,0,0,0,0,0
6802024AY,,,,0,0,0,0,,,,0,0,0,0,0
6802024RY,,,,0,0,0,0,,"4,368",,"4,368",0,0,0,0
6802025AY,,,,0,0,0,0,,,,0,0,0,0,0
6802026AY,,,,0,0,0,0,,,,0,0,0,0,0
6802027AY,,,,0,0,0,0,,,,0,0,0,0,0
6802028AY,,,,0,0,0,0,,,,0,0,0,0,0
6802029AY,,,,0,0,0,0,,,,0,0,0,0,0
6802030AY,,,,0,0,0,0,,,,0,0,0,0,0
6802031AY,,"1,136",,"1,136",0,0,0,,,,0,0,0,0,0
6802032AY,,,,0,0,0,0,,,,0,0,0,0,0
6802033AY,"2,262",,,"2,262",0,0,0,,,,0,0,0,0,0
6802034AY,972,,,972,0,0,0,,,,0,0,0,0,0
6802035AY,,,,0,0,0,0,,,,0,0,0,0,0
6802036AY,,,,0,0,0,0,,,,0,0,0,0,0
6802038AY,,,,0,0,0,0,,,,0,0,0,0,0
6802039AY,,,,0,0,0,0,,,,0,0,0,0,0
6802040AY,,,,0,0,0,0,,,,0,0,0,0,0
6802041AY,,,,0,0,0,0,,,,0,0,0,0,0
6802042AY,"102,552","60,530","77,127","240,209",1.69,0.78,1.235,"37,449","38,621","40,065","116,136",1.03,1.04,1.035,0.48
6802043AY,,,,0,0,0,0,,,,0,0,0,0,0
6802044AY,,,,0,0,0,0,,"3,563","4,723","8,286",0,1.33,0.665,0
6802045AY,,,,0,0,0,0,,,,0,0,0,0,0
6802047AY,"5,421",,,"5,421",0,0,0,"5,421",,,"5,421",0,0,0,1
6802049AY,,,,0,0,0,0,,,186,186,0,0,0,0
6802050AY,,"1,138",,"1,138",0,0,0,,,,0,0,0,0,0
6802051AY,,,,0,0,0,0,,,,0,0,0,0,0
6802052AY,,,,0,0,0,0,,,,0,0,0,0,0
6802053AY,,,,0,0,0,0,,,,0,0,0,0,0
6802054AY,,,,0,0,0,0,,,,0,0,0,0,0
6802055AY,,,,0,0,0,0,,,,0,0,0,0,0
6802055RY,,477,,477,0,0,0,,,,0,0,0,0,0
6802056AY,"20,063",,,"20,063",0,0,0,"18,292",,"4,773","23,065",0,0,0,1.15
6802058AY,706,,,706,0,0,0,631,,,631,0,0,0,0.89
6802059AY,,,,0,0,0,0,,,,0,0,0,0,0
6802060AY,,,,0,0,0,0,,811,,811,0,0,0,0
6802061AY,,,,0,0,0,0,,,,0,0,0,0,0
6802062AY,,,,0,0,0,0,,,,0,0,0,0,0
6802063AY,,,,0,0,0,0,,,,0,0,0,0,0
6802064AY,,,,0,0,0,0,,,,0,0,0,0,0
6802065AY,,,,0,0,0,0,,,,0,0,0,0,0
6802066AY,,,,0,0,0,0,,,,0,0,0,0,0
6802067AY,,,,0,0,0,0,,,906,906,0,0,0,0
6802068AY,"20,360","23,717","14,109","58,186",0.86,1.68,1.27,892,"1,003",,"1,894",1.12,0,0.56,0.03
6802069AY,"2,356","1,400",,"3,756",1.68,0,0.84,"6,155",,,"6,155",0,0,0,1.64
6802070AY,,,,0,0,0,0,,,,0,0,0,0,0
6802071AY,,,,0,0,0,0,,,,0,0,0,0,0
6802072AY,"5,724",,,"5,724",0,0,0,,,,0,0,0,0,0
6802073AY,,,,0,0,0,0,,,,0,0,0,0,0
6802074AY,,,,0,0,0,0,,,,0,0,0,0,0
6802076AY,"4,486",,,"4,486",0,0,0,,,,0,0,0,0,0
6802077AY,"6,297",,,"6,297",0,0,0,,,,0,0,0,0,0
6802078AY,,,,0,0,0,0,,,,0,0,0,0,0
6802079AY,,,,0,0,0,0,,,,0,0,0,0,0
6802080AY,,,,0,0,0,0,,,,0,0,0,0,0
6802081AY,146,,,146,0,0,0,,277,,277,0,0,0,1.89
6802082AY,,,,0,0,0,0,,,,0,0,0,0,0
6802083AY,"-2,138",,,"-2,138",0,0,0,,,,0,0,0,0,0
6802084AY,,,,0,0,0,0,,,,0,0,0,0,0
